id,short_name,full_name,nation,club,position,preferred_foot,tier,ovr,age,height_cm,weight_kg,weak_foot,skill_moves,work_rate,league,image,image_type,data_version,stats_pac,stats_sho,stats_pas,stats_dri,stats_def,stats_phy
mvm_033,Virgil van Dijk,Virgil van Dijk,Netherlands,Liverpool,CB,Right,Gold,81,24,189,79,4,4,Medium/High,Custom MVMPACK 2026,images/player_033.png,original illustrated portrait asset,MVMPACK-2026.08-v1,73,36,65,59,83,89
mvm_034,Trent Alexander-Arnold,Trent John Alexander-Arnold,England,Real Madrid,RB,Right,Gold,81,22,182,68,4,3,Medium/High,Custom MVMPACK 2026,images/player_034.png,original illustrated portrait asset,MVMPACK-2026.08-v1,85,48,78,77,76,72
mvm_035,Alessandro Bastoni,Alessandro Bastoni,Italy,Inter Milan,CB,Left,Gold,81,31,188,77,5,5,Medium/High,Custom MVMPACK 2026,images/player_035.png,original illustrated portrait asset,MVMPACK-2026.08-v1,69,32,67,55,84,85
mvm_036,Federico Dimarco,Federico Dimarco,Italy,Inter Milan,LB,Left,Gold,80,30,175,66,3,5,Medium/High,Custom MVMPACK 2026,images/player_036.png,original illustrated portrait asset,MVMPACK-2026.08-v1,79,45,71,80,76,74
mvm_037,Nuno Mendes,Nuno Alexandre Tavares Mendes,Portugal,Paris Saint-Germain,LB,Left,Gold,80,27,173,74,3,2,Medium/High,Custom MVMPACK 2026,images/player_037.png,original illustrated portrait asset,MVMPACK-2026.08-v1,83,45,70,78,76,78
mvm_038,Khvicha Kvaratskhelia,Khvicha Kvaratskhelia,Georgia,Paris Saint-Germain,LW,Right,Gold,80,24,180,80,4,4,High/Low,Custom MVMPACK 2026,images/player_038.png,original illustrated portrait asset,MVMPACK-2026.08-v1,90,84,81,96,31,55
mvm_039,Randal Kolo Muani,Randal Kolo Muani,France,Juventus,ST,Right,Gold,80,29,180,70,5,3,High/Low,Custom MVMPACK 2026,images/player_039.png,original illustrated portrait asset,MVMPACK-2026.08-v1,86,95,63,83,25,79
mvm_040,Désiré Doué,Désiré Doué,France,Paris Saint-Germain,CAM,Right,Gold,80,29,180,69,2,4,Medium/High,Custom MVMPACK 2026,images/player_040.png,original illustrated portrait asset,MVMPACK-2026.08-v1,78,78,86,95,38,60
mvm_041,Michael Olise,Michael Akpovie Olise,France,Bayern Munich,RW,Left,Gold,80,33,180,67,3,4,High/Low,Custom MVMPACK 2026,images/player_041.png,original illustrated portrait asset,MVMPACK-2026.08-v1,92,83,78,99,32,52
mvm_042,Xavi Simons,Xavi Simons,Netherlands,RB Leipzig,CAM,Right,Gold,80,26,175,78,4,3,Medium/High,Custom MVMPACK 2026,images/player_042.png,original illustrated portrait asset,MVMPACK-2026.08-v1,79,78,87,96,34,55
mvm_043,João Neves,João Pedro Gonçalves Neves,Portugal,Paris Saint-Germain,CM,Right,Gold,80,29,178,66,4,2,High/High,Custom MVMPACK 2026,images/player_043.png,original illustrated portrait asset,MVMPACK-2026.08-v1,73,56,88,78,66,73
mvm_044,Vitinha,Vitinha,Portugal,Paris Saint-Germain,CM,Right,Gold,80,25,177,71,2,2,High/High,Custom MVMPACK 2026,images/player_044.png,original illustrated portrait asset,MVMPACK-2026.08-v1,75,58,86,80,69,70
mvm_045,Julián Álvarez,Julián Álvarez,Argentina,Atlético Madrid,ST,Right,Gold,80,32,184,72,3,4,High/Low,Custom MVMPACK 2026,images/player_045.png,original illustrated portrait asset,MVMPACK-2026.08-v1,86,95,63,86,27,84
mvm_046,Alexander Isak,Alexander Isak,Sweden,Liverpool,ST,Right,Gold,80,23,183,76,4,5,High/Low,Custom MVMPACK 2026,images/player_046.png,original illustrated portrait asset,MVMPACK-2026.08-v1,82,89,61,87,23,78
mvm_047,Victor Osimhen,Victor Osimhen,Nigeria,Galatasaray,ST,Right,Gold,80,26,180,70,5,5,High/Low,Custom MVMPACK 2026,images/player_047.png,original illustrated portrait asset,MVMPACK-2026.08-v1,87,88,67,86,28,83
mvm_048,Declan Rice,Declan Rice,England,Arsenal,CDM,Right,Gold,80,31,175,78,2,4,High/High,Custom MVMPACK 2026,images/player_048.png,original illustrated portrait asset,MVMPACK-2026.08-v1,65,54,86,76,80,76
mvm_049,William Carvalho,William Carvalho,Portugal,Real Betis,CDM,Right,Gold,80,23,182,82,5,3,High/High,Custom MVMPACK 2026,images/player_049.png,original illustrated portrait asset,MVMPACK-2026.08-v1,62,52,78,71,79,80
mvm_050,Joško Gvardiol,Joško Gvardiol,Croatia,Manchester City,CB,Left,Gold,80,28,192,78,5,3,Medium/High,Custom MVMPACK 2026,images/player_050.png,original illustrated portrait asset,MVMPACK-2026.08-v1,77,38,69,57,89,89
mvm_051,Antonio Rüdiger,Antonio Rüdiger,Germany,Real Madrid,CB,Right,Gold,80,25,194,86,4,5,Medium/High,Custom MVMPACK 2026,images/player_051.png,original illustrated portrait asset,MVMPACK-2026.08-v1,75,35,62,57,83,90
mvm_052,Thibaut Courtois,Thibaut Courtois,Belgium,Real Madrid,GK,Left,Gold,80,33,190,80,5,5,Medium/High,Custom MVMPACK 2026,images/player_052.png,original illustrated portrait asset,MVMPACK-2026.08-v1,67,30,56,59,20,74
mvm_053,Emiliano Martínez,Emiliano Martínez,Argentina,Aston Villa,GK,Right,Gold,80,22,197,77,2,2,Medium/High,Custom MVMPACK 2026,images/player_053.png,original illustrated portrait asset,MVMPACK-2026.08-v1,63,25,54,56,22,67
mvm_054,Theo Hernández,Theo Bernard François Hernández,France,AC Milan,LB,Left,Gold,80,24,175,73,2,2,Medium/High,Custom MVMPACK 2026,images/player_054.png,original illustrated portrait asset,MVMPACK-2026.08-v1,87,45,75,74,75,76
mvm_055,Nicolò Barella,Nicolò Barella,Italy,Inter Milan,CM,Right,Gold,80,30,177,70,2,2,High/High,Custom MVMPACK 2026,images/player_055.png,original illustrated portrait asset,MVMPACK-2026.08-v1,71,60,88,82,68,74
mvm_056,Khéphren Thuram,Khéphren Thuram,France,Juventus,CM,Right,Gold,80,25,174,77,2,3,High/High,Custom MVMPACK 2026,images/player_056.png,original illustrated portrait asset,MVMPACK-2026.08-v1,69,55,88,80,67,70
mvm_057,Cody Gakpo,Cody Gakpo,Netherlands,Liverpool,LW,Right,Gold,80,26,181,77,4,2,High/Low,Custom MVMPACK 2026,images/player_057.png,original illustrated portrait asset,MVMPACK-2026.08-v1,90,81,79,93,25,58
mvm_058,Luis Díaz,Luis Díaz,Colombia,Liverpool,LW,Right,Gold,80,24,179,73,4,3,High/Low,Custom MVMPACK 2026,images/player_058.png,original illustrated portrait asset,MVMPACK-2026.08-v1,95,82,80,92,25,59
mvm_059,Frenkie de Jong,Frenkie de Jong,Netherlands,Barcelona,CM,Right,Silver,79,25,184,70,2,3,High/High,Custom MVMPACK 2026,images/player_059.png,original illustrated portrait asset,MVMPACK-2026.08-v1,74,60,85,85,65,72
mvm_060,Martín Zubimendi,Martin Zubimendi Ibáñez,Spain,Arsenal,CDM,Right,Silver,79,30,174,73,4,2,High/High,Custom MVMPACK 2026,images/player_060.png,original illustrated portrait asset,MVMPACK-2026.08-v1,69,51,79,73,82,81
mvm_061,Dani Olmo,Dani Olmo Carvajal,Spain,Barcelona,CAM,Right,Silver,79,31,173,75,3,5,Medium/High,Custom MVMPACK 2026,images/player_061.png,original illustrated portrait asset,MVMPACK-2026.08-v1,79,80,82,88,35,54
mvm_062,Mikel Oyarzabal,Mikel Oyarzabal Ugarte,Spain,Real Sociedad,LW,Left,Silver,79,32,183,76,2,4,High/Low,Custom MVMPACK 2026,images/player_062.png,original illustrated portrait asset,MVMPACK-2026.08-v1,97,81,79,95,27,59
mvm_063,Mikel Merino,Mikel Merino Zazón,Spain,Arsenal,CM,Left,Silver,78,22,174,71,3,4,High/High,Custom MVMPACK 2026,images/player_063.png,original illustrated portrait asset,MVMPACK-2026.08-v1,74,60,86,80,66,67
mvm_064,Gabriel Martinelli,Gabriel Martinelli Silva,Brazil,Arsenal,LW,Right,Silver,78,28,181,81,4,4,High/Low,Custom MVMPACK 2026,images/player_064.png,original illustrated portrait asset,MVMPACK-2026.08-v1,94,78,79,95,23,53
mvm_065,Gabriel Magalhães,Gabriel Teodoro Martinelli Silva,Brazil,Arsenal,CB,Left,Silver,78,31,192,82,5,5,Medium/High,Custom MVMPACK 2026,images/player_065.png,original illustrated portrait asset,MVMPACK-2026.08-v1,67,30,64,57,84,81
mvm_066,Willian Pacho,William Joel Pacho Tenorio,Ecuador,Paris Saint-Germain,CB,Left,Silver,78,30,195,83,3,3,Medium/High,Custom MVMPACK 2026,images/player_066.png,original illustrated portrait asset,MVMPACK-2026.08-v1,72,34,64,60,83,84
mvm_067,Marquinhos,Marquinhos Aoás Corrêa,Brazil,Paris Saint-Germain,CB,Right,Silver,78,27,185,69,5,2,Medium/High,Custom MVMPACK 2026,images/player_067.png,original illustrated portrait asset,MVMPACK-2026.08-v1,74,36,65,55,81,82
mvm_068,Fabián Ruiz,Fabián Ruiz Peña,Spain,Paris Saint-Germain,CM,Left,Silver,78,32,181,73,2,3,High/High,Custom MVMPACK 2026,images/player_068.png,original illustrated portrait asset,MVMPACK-2026.08-v1,68,59,87,81,65,67
mvm_069,Warren Zaïre-Emery,Warren Zaïre-Emery,France,Paris Saint-Germain,CM,Right,Silver,78,23,174,73,2,3,High/High,Custom MVMPACK 2026,images/player_069.png,original illustrated portrait asset,MVMPACK-2026.08-v1,69,60,86,80,69,65
mvm_070,Bradley Barcola,Bradley Barcola,France,Paris Saint-Germain,LW,Right,Silver,78,20,174,68,3,4,High/Low,Custom MVMPACK 2026,images/player_070.png,original illustrated portrait asset,MVMPACK-2026.08-v1,92,83,77,90,31,53
mvm_071,Rasmus Højlund,Rasmus Højlund,Denmark,Manchester United,ST,Left,Silver,78,30,187,74,4,4,High/Low,Custom MVMPACK 2026,images/player_071.png,original illustrated portrait asset,MVMPACK-2026.08-v1,83,94,59,78,19,81
mvm_072,Kobbie Mainoo,Kobbie Mainoo,England,Manchester United,CM,Right,Silver,77,27,173,67,3,4,High/High,Custom MVMPACK 2026,images/player_072.png,original illustrated portrait asset,MVMPACK-2026.08-v1,65,54,89,75,66,64
mvm_073,Mason Mount,Mason Mount,England,Manchester United,CAM,Right,Silver,77,23,180,75,2,3,Medium/High,Custom MVMPACK 2026,images/player_073.png,original illustrated portrait asset,MVMPACK-2026.08-v1,78,72,86,87,34,56
mvm_074,Lisandro Martínez,Lisandro Martínez,Argentina,Manchester United,CB,Left,Silver,77,20,184,82,4,5,Medium/High,Custom MVMPACK 2026,images/player_074.png,original illustrated portrait asset,MVMPACK-2026.08-v1,68,29,63,59,82,81
mvm_075,Matthijs de Ligt,Matthijs de Ligt,Netherlands,Manchester United,CB,Right,Silver,77,30,195,84,3,3,Medium/High,Custom MVMPACK 2026,images/player_075.png,original illustrated portrait asset,MVMPACK-2026.08-v1,66,32,66,52,79,86
mvm_076,Amad Diallo,Amad Diallo,Côte d’Ivoire,Manchester United,RW,Left,Silver,77,27,183,73,2,3,High/Low,Custom MVMPACK 2026,images/player_076.png,original illustrated portrait asset,MVMPACK-2026.08-v1,92,80,74,96,21,51
mvm_077,Alejandro Garnacho,Alejandro Garnacho Ferreyra,Argentina,Manchester United,LW,Right,Silver,77,22,181,77,2,2,High/Low,Custom MVMPACK 2026,images/player_077.png,original illustrated portrait asset,MVMPACK-2026.08-v1,88,80,76,93,28,53
mvm_078,Christopher Nkunku,Christopher Nkunku,France,Chelsea,CF,Right,Silver,77,21,182,80,5,4,Medium/High,Custom MVMPACK 2026,images/player_078.png,original illustrated portrait asset,MVMPACK-2026.08-v1,81,83,78,87,28,69
mvm_079,Nicolas Jackson,Nicolas Jackson,Senegal,Chelsea,ST,Right,Silver,77,21,187,70,3,2,High/Low,Custom MVMPACK 2026,images/player_079.png,original illustrated portrait asset,MVMPACK-2026.08-v1,82,88,66,78,19,75
mvm_080,Malo Gusto,Malo Gusto,France,Chelsea,RB,Right,Silver,76,30,186,75,5,4,Medium/High,Custom MVMPACK 2026,images/player_080.png,original illustrated portrait asset,MVMPACK-2026.08-v1,78,49,75,75,67,75
mvm_081,Levi Colwill,Levi Colwill,England,Chelsea,CB,Left,Silver,76,22,195,78,2,2,Medium/High,Custom MVMPACK 2026,images/player_081.png,original illustrated portrait asset,MVMPACK-2026.08-v1,71,29,66,52,85,85
mvm_082,Enzo Fernández,Enzo Fernández,Argentina,Chelsea,CM,Right,Silver,79,20,176,73,5,3,High/High,Custom MVMPACK 2026,images/player_082.png,original illustrated portrait asset,MVMPACK-2026.08-v1,68,59,90,81,63,65
mvm_083,Moisés Caicedo,Moises Isaac Caicedo Corozo,Ecuador,Chelsea,CDM,Right,Silver,78,20,187,80,3,4,High/High,Custom MVMPACK 2026,images/player_083.png,original illustrated portrait asset,MVMPACK-2026.08-v1,68,47,84,74,80,82
mvm_084,Youssoufa Moukoko,Youssoufa Moukoko,Germany,Nice,ST,Left,Silver,72,22,184,77,2,3,High/Low,Custom MVMPACK 2026,images/player_084.png,original illustrated portrait asset,MVMPACK-2026.08-v1,81,87,60,79,18,76
mvm_085,Dominik Szoboszlai,Dominik Szoboszlai,Hungary,Liverpool,CM,Right,Silver,78,23,172,78,2,2,High/High,Custom MVMPACK 2026,images/player_085.png,original illustrated portrait asset,MVMPACK-2026.08-v1,73,60,86,76,69,72
mvm_086,Alexis Mac Allister,Alexis Mac Allister,Argentina,Liverpool,CM,Right,Silver,79,22,175,69,4,4,High/High,Custom MVMPACK 2026,images/player_086.png,original illustrated portrait asset,MVMPACK-2026.08-v1,75,54,83,83,65,66
mvm_087,Ibrahima Konaté,Ibrahima Konaté,France,Liverpool,CB,Right,Silver,78,29,195,83,2,3,Medium/High,Custom MVMPACK 2026,images/player_087.png,original illustrated portrait asset,MVMPACK-2026.08-v1,70,28,64,58,81,83
mvm_088,Andy Robertson,Andy Robertson,Scotland,Liverpool,LB,Left,Silver,77,32,180,68,2,5,Medium/High,Custom MVMPACK 2026,images/player_088.png,original illustrated portrait asset,MVMPACK-2026.08-v1,80,44,70,78,69,75
mvm_089,Conor Bradley,Conor Bradley,Northern Ireland,Liverpool,RB,Right,Silver,74,24,178,71,4,5,Medium/High,Custom MVMPACK 2026,images/player_089.png,original illustrated portrait asset,MVMPACK-2026.08-v1,75,40,68,71,73,66
mvm_090,Diogo Jota,Diogo Jota,Portugal,Liverpool,ST,Right,Silver,77,23,189,80,2,3,High/Low,Custom MVMPACK 2026,images/player_090.png,original illustrated portrait asset,MVMPACK-2026.08-v1,82,86,59,81,21,80
mvm_091,Darwin Núñez,Darwin Núñez,Uruguay,Liverpool,ST,Left,Silver,76,20,185,78,4,3,High/Low,Custom MVMPACK 2026,images/player_091.png,original illustrated portrait asset,MVMPACK-2026.08-v1,85,91,59,85,17,79
mvm_092,Caoimhin Kelleher,Caoimhin Kelleher,Ireland,Brentford,GK,Right,Silver,74,30,184,68,3,4,Medium/High,Custom MVMPACK 2026,images/player_092.png,original illustrated portrait asset,MVMPACK-2026.08-v1,65,23,51,47,17,65
mvm_093,Reece James,Reece James,England,Chelsea,RB,Right,Silver,76,27,184,81,3,5,Medium/High,Custom MVMPACK 2026,images/player_093.png,original illustrated portrait asset,MVMPACK-2026.08-v1,78,42,77,70,74,68
mvm_094,Marc Cucurella,Marc Cucurella Saseta,Spain,Chelsea,LB,Left,Silver,76,22,183,78,4,3,Medium/High,Custom MVMPACK 2026,images/player_094.png,original illustrated portrait asset,MVMPACK-2026.08-v1,77,46,67,74,70,72
mvm_095,Pau Cubarsí,Pau Cubarsí Paredes,Spain,Barcelona,CB,Right,Silver,76,25,185,79,2,2,Medium/High,Custom MVMPACK 2026,images/player_095.png,original illustrated portrait asset,MVMPACK-2026.08-v1,66,31,59,57,80,82
mvm_096,Ronald Araújo,Ronald Federico Araújo da Silva,Uruguay,Barcelona,CB,Right,Silver,78,22,184,74,5,2,Medium/High,Custom MVMPACK 2026,images/player_096.png,original illustrated portrait asset,MVMPACK-2026.08-v1,72,32,67,58,84,87
mvm_097,Fermín López,Fermín López Martín,Spain,Barcelona,CAM,Right,Silver,74,25,176,65,4,3,Medium/High,Custom MVMPACK 2026,images/player_097.png,original illustrated portrait asset,MVMPACK-2026.08-v1,79,74,83,87,26,51
mvm_098,Ferran Torres,Ferran Torres García,Spain,Barcelona,RW,Right,Silver,75,26,172,67,5,5,High/Low,Custom MVMPACK 2026,images/player_098.png,original illustrated portrait asset,MVMPACK-2026.08-v1,93,77,74,92,22,49
mvm_099,Raphinha,Raphinha Dias Belloli,Brazil,Barcelona,RW,Left,Silver,79,20,183,77,4,2,High/Low,Custom MVMPACK 2026,images/player_099.png,original illustrated portrait asset,MVMPACK-2026.08-v1,99,79,79,96,28,55
mvm_100,Andreas Christensen,Andreas Bødtker Christensen,Denmark,Barcelona,CB,Right,Silver,74,28,183,78,4,2,Medium/High,Custom MVMPACK 2026,images/player_100.png,original illustrated portrait asset,MVMPACK-2026.08-v1,71,32,60,52,79,82
mvm_101,Jules Koundé,Koundé Jules Olivier,France,Barcelona,RB,Right,Silver,78,24,173,77,4,5,Medium/High,Custom MVMPACK 2026,images/player_101.png,original illustrated portrait asset,MVMPACK-2026.08-v1,82,42,71,78,72,71
mvm_102,Nicolas Pépé,François Laurent Prass,Côte d’Ivoire,Villarreal,RW,Left,Silver,73,22,179,72,5,2,High/Low,Custom MVMPACK 2026,images/player_102.png,original illustrated portrait asset,MVMPACK-2026.08-v1,91,73,76,89,25,49
mvm_103,Dani Carvajal,Dani Carvajal Ramos,Spain,Real Madrid,RB,Right,Silver,77,28,177,76,4,2,Medium/High,Custom MVMPACK 2026,images/player_103.png,original illustrated portrait asset,MVMPACK-2026.08-v1,78,48,76,70,68,74
mvm_104,Éder Militão,Éder Gabriel Militão,Brazil,Real Madrid,CB,Right,Silver,79,31,183,79,5,2,Medium/High,Custom MVMPACK 2026,images/player_104.png,original illustrated portrait asset,MVMPACK-2026.08-v1,71,31,69,59,86,88
mvm_105,Eduardo Camavinga,Eduardo Celmi Camavinga,France,Real Madrid,CM,Left,Silver,79,28,185,72,2,2,High/High,Custom MVMPACK 2026,images/player_105.png,original illustrated portrait asset,MVMPACK-2026.08-v1,74,55,85,81,69,72
mvm_106,Aurélien Tchouaméni,Aurélien Djani Tchouaméni,France,Real Madrid,CDM,Right,Silver,79,32,173,65,3,2,High/High,Custom MVMPACK 2026,images/player_106.png,original illustrated portrait asset,MVMPACK-2026.08-v1,61,49,83,72,79,78
mvm_107,Brahim Díaz,Brahim Abdelkader Díaz,Morocco,Real Madrid,CAM,Left,Silver,77,22,170,67,2,3,Medium/High,Custom MVMPACK 2026,images/player_107.png,original illustrated portrait asset,MVMPACK-2026.08-v1,74,77,84,91,33,56
mvm_108,Rodrygo,Rodrygo Silva de Goes,Brazil,Real Madrid,RW,Right,Silver,79,25,175,76,5,3,High/Low,Custom MVMPACK 2026,images/player_108.png,original illustrated portrait asset,MVMPACK-2026.08-v1,95,81,77,95,24,56
mvm_109,Arda Güler,Arda Güler,Turkey,Real Madrid,CAM,Left,Silver,76,27,184,73,2,2,Medium/High,Custom MVMPACK 2026,images/player_109.png,original illustrated portrait asset,MVMPACK-2026.08-v1,79,71,83,88,30,56
mvm_110,David Alaba,David Alaba,Austria,Real Madrid,CB,Left,Silver,76,21,190,79,5,3,Medium/High,Custom MVMPACK 2026,images/player_110.png,original illustrated portrait asset,MVMPACK-2026.08-v1,70,30,59,55,82,82
